"Distance [mm]","B_normal []"
259.35305,0.980240082392299
259.681345,0.980158865799577
260.00964,0.980096670437863
260.337935,0.980053429014647
260.66623,0.980029073156705
260.994525,0.980025965007741
261.32282,0.980047708706466
261.651115,0.980088973665335
261.97941,0.980149706396682
262.307705,0.980229852533576
262.636,0.98032935684237
262.964295,0.980237981300997
263.29259,0.980154449520361
263.620885,0.980089855760925
263.94918,0.980044131520823
264.277475,0.980017207434824
264.60577,0.980009842313322
264.934065,0.980024946478974
265.26236,0.980059306192724
265.590655,0.980112846720489
265.91895,0.980185492218938
266.247245,0.980277165749804
266.57554,0.980228675913474
266.903835,0.980168232660958
267.23213,0.980125737143686
267.560425,0.980101131102403
267.88872,0.98009435542638
268.217015,0.980105903409117
268.54531,0.980140975145644
268.873605,0.9801937079749
269.2019,0.980264036587772
269.530195,0.980351894896027
269.85849,0.980457216046354
270.186785,0.980423064070703
270.51508,0.980349540178168
270.843375,0.980293810681443
271.17167,0.980255809763008
271.499965,0.980235470878317
271.82826,0.980232726769837
272.156555,0.980252717271039
272.48485,0.98029037186536
272.813145,0.98034549291475
273.14144,0.980417995479878
273.469735,0.980507793608657
273.79803,0.980499679916631
274.126325,0.980439907163047
274.45462,0.980397692377915
274.782915,0.980372978870733
275.11121,0.980365709006639
275.439505,0.980375824218115
275.7678,0.980411155770918
276.096095,0.980464954687806
276.42439,0.980535983663211
276.752685,0.980624183848
277.08098,0.980729495640897
277.409275,0.980742331929723
277.73757,0.980671879735001
278.065865,0.980621420289296
278.39416,0.98059088551419
278.722455,0.980580206164832
279.05075,0.980589311842949
279.379045,0.980623925852521
279.70734,0.980681083059547
280.035635,0.98075905856362
280.36393,0.980857797966738
280.692225,0.980977245740637
281.02052,0.981030151617202
281.348815,0.980974345964109
281.67711,0.980935111532694
282.005405,0.980912391972359
282.3337,0.980906130206685
282.661995,0.980916268445126
282.99029,0.980948018331594
283.318585,0.980998302775374
283.64688,0.981064122496283
283.975175,0.981145394960226
284.30347,0.981242036845844
284.631765,0.981294571497881
284.96006,0.981226869929057
285.288355,0.981179452902269
285.61665,0.981152261836314
285.944945,0.981145236981558
286.27324,0.981158317431752
286.601535,0.9811959488032
286.92983,0.981258360873303
287.258125,0.98134203159406
287.58642,0.9814469146322
287.914715,0.981572962423016
288.24301,0.981679335875269
288.571305,0.981632160707651
288.8996,0.98160217139537
289.227895,0.981589309189061
289.55619,0.981593514452539
289.884485,0.981614726673931
290.21278,0.98165670386959
290.541075,0.981720192789082
290.86937,0.981800043334419
291.197665,0.981896177619069
291.52596,0.982008516900986
291.854255,0.982120216694385
292.18255,0.982064723493364
292.510845,0.982028508552983
292.83914,0.982011514652892
293.167435,0.98201368345267
293.49573,0.982034955503167
293.824025,0.982078467779625
294.15232,0.982148153296932
294.480615,0.982237690543179
294.80891,0.98234703176085
295.137205,0.982476128147111
295.4655,0.982624929864025
295.793795,0.982575478201775
296.12209,0.982539852915389
296.450385,0.982523634395138
296.77868,0.982526764383061
297.106975,0.982549183600761
297.43527,0.982592251395407
297.763565,0.982659961345885
298.09186,0.982747424561286
298.420155,0.982854578123308
298.74845,0.982981357923573
299.076745,0.983127698675477
299.40504,0.983117952296367
299.733335,0.983098329596358
300.06163,0.983095675645111
300.389925,0.983109936240549
300.71822,0.983141056381629
301.046515,0.983189980930892
301.37481,0.983263477099634
301.703105,0.983353136336261
302.0314,0.983458881175142
302.359695,0.983580633258837
302.68799,0.983718313350975
303.016285,0.983720582196592
303.34458,0.983693568398853
303.672875,0.983685905959761
304.00117,0.983697539965494
304.329465,0.983728414355782
304.65776,0.983778484844956
304.986055,0.98385827118386
305.31435,0.983957976200837
305.642645,0.984077554582347
305.97094,0.984216959953674
306.299235,0.984376144888611
306.62753,0.984410500929835
306.955825,0.984385817966391
307.28412,0.984379746371552
307.612415,0.984392217781103
307.94071,0.984423162839928
308.269005,0.984472511214046
308.5973,0.984547140218339
308.925595,0.984642905058563
309.25389,0.984759045610064
309.582185,0.984895521155132
309.91048,0.985052289604791
310.238775,0.985129614238924
310.56707,0.98513452120307
310.895365,0.985149063689696
311.22366,0.985173368142676
311.551955,0.985207560823166
311.88025,0.985251772490362
312.208545,0.985306666493324
312.53684,0.985372642719752
312.865135,0.985449745315534
313.19343,0.985538018482446
313.521725,0.985637506506459
313.85002,0.985978522969537
314.178315,0.986475786745092
314.50661,0.986765436107329
314.834905,0.986846479972859
315.1632,0.986717945627073
315.491495,0.986378878854872
315.81979,0.985781400481539
316.148085,0.985109396849711
316.47638,0.984419492804265
316.804675,0.983715214373383
317.13297,0.983000123217224
317.461265,0.983176942776654
317.78956,0.985398490287425
318.117855,0.987880919219484
318.44615,0.989165362237321
318.774445,0.988884632283212
319.10274,0.98863778029944
319.431035,0.988427286280738
319.75933,0.988255761414201
320.087625,0.988039278854339
320.41592,0.986606334529631
320.744215,0.984870207066254
321.07251,0.983059464821843
321.400805,0.981265687384952
321.7291,0.980378532507846
322.057395,0.982035509116573
322.38569,0.983735324257955
322.713985,0.98367357598208
323.04228,0.982596161422162
323.370575,0.97815081397168
323.69887,0.972628946722254
324.027165,0.967144982320049
324.35546,0.966730677811737
324.683755,0.966254110363932
325.01205,0.956684570256207
325.340345,0.94599742528963
325.66864,0.934529968285088
325.996935,0.923238774146722
326.32523,0.915350346746385
326.653525,0.909417859318603
326.98182,0.867864126738622
327.310115,0.797275508976176
327.63841,0.712398887274989
327.966705,0.665242660642367
328.295,0.51390878700225
